__v,_id,category,createdOn,description,discountPrice,image,isTopProduct,name,price,quantityAvailable
0,62e89f1c75ad29834b478106,Video Games,2022-08-02T03:50:52.210Z,"In an era where machines roam the land and mankind is no longer the dominant species, a young hunter named Aloy embarks on a journey to discover her destiny",0,./images/products/HZD.jpg,false,HZD,49,1
0,62e89f5b75ad29834b478108,Video Games,2022-08-02T03:51:55.067Z,"Enhanced visuals: Completely rebuilt from the ground up using Naughty Dog’s latest PS5 engine technology to improve every visual detail, The Last of Us experience has been faithfully enhanced with more realistic lighting and atmosphere, more intricate environments and creative reimaginings of familiar spaces.",0,./images/products/Last of us.jpg,true,The Last of US,69,1
0,62e89fb175ad29834b47810a,Video Games,2022-08-02T03:53:21.952Z,"Face thrilling, unpredictable challenges as you explore distinctive hand-crafted lands through deeply immersive and expressive controls.",30,./images/products/Sackboy.jpg,false,Sackboy,59,1
0,62e8a02575ad29834b47810d,Video Games,2022-08-02T03:55:17.883Z,"Miles morales discovers explosive powers that set him apart from his mentor, peter parker. Master his unique, bio-electric venom Blast attacks and covert camouflage power alongside spectacular web-slinging acrobatics, gadgets and skills.",0,./images/products/Spiderman.jpg,false,Spiderman,25,1
0,62e8a08f75ad29834b47810f,Cameras,2022-08-02T03:57:03.655Z,"Canon EOS 2000D DSLRCamera Body (International Version )- 24.1MP APS-C CMOS Sensor, DIGIC 4+ Image Processor, 3.0"" 920k-Dot LCD Monitor, Full HD 1080/30p Video Recording, 9-Point AF with Center Cross-Type Point, ISO 100-6400, Up to 3 fps Shooting, Built-In Wi-Fi with NFC, Scene Intelligent Auto Mode , Creative Filters and Creative Auto Modes",0,./images/products/Canon EOS 2000D.jpg,false,CanonEOS 2000D,479,1
0,62e8a0cb75ad29834b478111,Cameras,2022-08-02T03:58:03.268Z,"Canon EOS 4000D / Rebel T100 DSLR Camera Body (International Version )- 24.1MP APS-C CMOS Sensor, ISO 100-6400, Up to 3 fps Shooting, Built-In Wi-Fi with NFC, 9-Point AF with Center Cross-Type Point, Full HD 1080/30p Video Recording, Creative Filters, Creative Auto Modes, 3.0'' 920k-Dot LCD Monitor, DIGIC 4+ Image Processor and Scene Intelligent Auto Mode.",0,./images/products/Canon EOS 4000D.jpg,false,CanonEOS 4000D,499,1
0,62e8a0ff75ad29834b478113,Cameras,2022-08-02T03:58:55.061Z,"Canon EOS Rebel T7 DSLR Camera - 24.1MP APS-C CMOS Sensor - DIGIC 4+ Image Processor - 3.0"" 920k-Dot LCD Monitor - Full HD 1080/30p Video Recording - 9-Point AF with Center Cross-Type Point - ISO 100-6400, Up to 3 fps Shooting - Built-In Wi-Fi with NFC - Scene Intelligent Auto Mode - Creative Filters and Creative Auto Modes",0,./images/products/Canon EOS Rebtel T7.jpg,false,CanonEOS Rebtel T7,899,1
0,62e8a16e75ad29834b478115,Cameras,2022-08-02T04:00:46.049Z,"Nikon designed back side illuminated (BSI) full frame image sensor with no optical low pass filter. 45.7 megapixels of extraordinary resolution, outstanding dynamic range and virtually no risk of moiré",0,./images/products/Nikon D850 FX.jpg,true,NikonD 850X,2269,1
0,62e8a1a675ad29834b478117,Cameras,2022-08-02T04:01:42.616Z,"Designed as a true all-arounder, the Nikon D7500 is a DX-format DSLR offering a versatile feature-set to appeal to photographers and videographers alike. Based on a 20.9MP CMOS sensor and EXPEED 5 image processor, this multimedia maven avails an 8 fps continuous shooting rate for up to 100 consecutive JPEGS, a native sensitivity range to ISO 51,200 that can be expanded up to ISO 1,640,000, and 4K UHD video and time-lapse recording capabilities.",0,./images/products/Nikon D7500.jpg,false,Nikon D7500,1248,1
0,62e8a1db75ad29834b478119,Cameras,2022-08-02T04:02:35.310Z,"Superb DSLM image quality without the bulk and weight of traditional DSLRs
Never miss a photo with three unique 4K ultra HD video pause and save 4K photo modes
Fast and precise auto focusing tracks the subject; Focus mode AFS (single) / AFF (flexible) / AFC (continuous) / MF, AF mode face/eye detection / tracking / 49 area / custom Multi / 1 area / pinpoint",0,./images/products/Panasonic Luminous.jpg,false,Panasonic lumix,399,1
